name,credit,class,for,totalstudent,day,shift,at,lectures
Khóa luận tốt nghiệp,9,MAT4081,MT&KHTT,,,,BM,
Phân tích và thiết kế hệ thống thông tin,3,"MAT3567 1,2",MT&KHTT,,7,4-5,PM,"Nguyễn Thị Bích Thủy
Vũ Tiến Dũng"
Phân tích và thiết kế hệ thống thông tin,3,MAT3567 1,MT&KHTT,25,CN,13,PM,"Nguyễn Thị Bích Thủy
Vũ Tiến Dũng"
Phân tích và thiết kế hệ thống thông tin,3,MAT3567 2,MT&KHTT,25,CN,13,PM,"Nguyễn Thị Bích Thủy
Vũ Tiến Dũng"
Tìm kiếm thông tin,3,"MAT3535 1,2",MT&KHTT,,2,6-7,202-T4,Lê Hồng Phương
Tìm kiếm thông tin,3,MAT3535 1,MT&KHTT,25,4,1-5,PM,Lê Hồng Phương
Tìm kiếm thông tin,3,MAT3535 2,MT&KHTT,25,4,1-5,PM,Lê Hồng Phương
Một số vấn đề chọn lọc về Trí tuệ nhân tạo,3,"MAT3377 1,2",MT&KHTT,,6,4-5,202-T4,Nguyễn Thị Bích Thủy
Một số vấn đề chọn lọc về Trí tuệ nhân tạo,3,MAT3377 1,MT&KHTT,25,5,8-10,PM,Nguyễn Thị Bích Thủy
Một số vấn đề chọn lọc về Trí tuệ nhân tạo,3,MAT3377 2,MT&KHTT,25,5,8-10,PM,Nguyễn Thị Bích Thủy
"Tư tưởng Hồ Chí Minh
",,Môn chung,MT&KHTT,,,,Môn chung toàn trường,
"Tư tưởng Hồ Chí Minh
",,Môn chung,MT&KHTT,,,,Môn chung toàn trường,
Tìm kiếm thông tin ,3,"MAT3535 3,4,5",MT&KHTT,,2,4-5,202-T4,Lê Hồng Phương
Tìm kiếm thông tin,3,MAT3535 3,MT&KHTT,25,5,6-10,PM,Lê Hồng Phương
Tìm kiếm thông tin,3,MAT3535 4,MT&KHTT,25,5,6-10,PM,Lê Hồng Phương
Tìm kiếm thông tin,3,MAT3535 5,MT&KHTT,25,5,6-10,PM,Lê Hồng Phương
Khóa luận tốt nghiệp,7,MAT4080,MT&KHTT,,,,BM,
Phân tích và thiết kế hệ thống thông tin,4,"MAT3544 1,2,3,4",MT&KHTT,,7,4-5,PM,"Nguyễn Thị Bích Thủy
Vũ Tiến Dũng"
Phân tích và thiết kế hệ thống thông tin,4,MAT3544 1,MT&KHTT,20,CN,13,PM,"Nguyễn Thị Bích Thủy
Vũ Tiến Dũng"
Phân tích và thiết kế hệ thống thông tin,4,MAT3544 2,MT&KHTT,20,CN,13,PM,"Nguyễn Thị Bích Thủy
Vũ Tiến Dũng"
Phân tích và thiết kế hệ thống thông tin,4,MAT3544 3,MT&KHTT,20,CN,13,PM,"Nguyễn Thị Bích Thủy
Vũ Tiến Dũng"
Phân tích và thiết kế hệ thống thông tin,4,MAT3544 4,MT&KHTT,20,CN,13,PM,"Nguyễn Thị Bích Thủy
Vũ Tiến Dũng"
Khóa luận tốt nghiệp,7,MAT4070,Toán học,,,,BM,
Một số vấn đề chọn lọc trong Toán học,3,MAT4071,Toán học,,5,3-5,302-T4,Phó Đức Tài
Khóa luận tốt nghiệp,10,MAT4074,Toán học,,,,BM,
Một số vấn đề chọn lọc trong tính toán khoa học,4,MAT4072,Toán học + Toán Tin,60,2,9-10,201-T4,Nguyễn Trung Hiếu
Một số vấn đề chọn lọc trong tính toán khoa học,4,MAT4072,Toán học + Toán Tin,60,6,1-3,104-T5,Nguyễn Trung Hiếu
Xây dựng phần mềm,3,"MAT3371 1,2",Toán Tin,,7,4-5,203-T5,"Nguyễn Thị Bích Thủy
Vũ Tiến Dũng"
Xây dựng phần mềm,3,MAT3371 1,Toán Tin,25,CN,13,PM,"Nguyễn Thị Bích Thủy
Vũ Tiến Dũng"
Xây dựng phần mềm,3,MAT3371 2,Toán Tin,25,CN,13,PM,"Nguyễn Thị Bích Thủy
Vũ Tiến Dũng"
Khóa luận tốt nghiệp,7,MAT4082,Toán Tin,,,,BM,
"Tư tưởng Hồ Chí Minh
",,Môn chung,KHDL,,,,Môn chung toàn trường,
Khóa luận tốt nghiệp,,MAT4083,KHDL,,,,BM,
Một số vấn đề ứng dụng của khoa học dữ liệu,4,"MAT3397 1,2",KHDL,,7,4-5,PM,"Nguyễn Thị Bích Thủy
Vũ Tiến Dũng"
Một số vấn đề ứng dụng của khoa học dữ liệu,4,MAT3397 1,KHDL,25,CN,13,PM,"Nguyễn Thị Bích Thủy
Vũ Tiến Dũng"
Một số vấn đề ứng dụng của khoa học dữ liệu,4,MAT3397 2,KHDL,25,CN,13,PM,"Nguyễn Thị Bích Thủy
Vũ Tiến Dũng"
Một số chủ đề trong mô hình hóa và phân tích dữ liệu,3,"MAT3398 1,2",KHDL,,5,4-5,202-T4,Phạm Đình Tùng
Một số chủ đề trong mô hình hóa và phân tích dữ liệu,3,MAT3398 1,KHDL,25,6,2-5,PM,Tạ Văn Chiến
Một số chủ đề trong mô hình hóa và phân tích dữ liệu,3,MAT3398 2,KHDL,25,6,2-5,PM,Nguyễn Trung Đức
Thực tập thực tế về Khoa học dữ liệu,3,#N/A,,,CN,13,#N/A,"Nguyễn Thị Bích Thủy
Vũ Tiến Dũng"
Tối ưu hóa,3,MAT2407 1,KHDL,,5,1-2,201-T5,Ngô Thị Thương
Tối ưu hóa,3,MAT2407 1,KHDL,,6,1-2,101-T5,Ngô Thị Thương
Phương pháp nghiên cứu khoa học,3,MAT2315,KHDL,,3,4-5,GĐ7T5,Nguyễn Thị Minh Huyền
Phương pháp nghiên cứu khoa học,3,MAT2315,KHDL,,CN,13,BM,BMTH+PTNKHDN
Học máy,3,"MAT3533 1,2",KHDL,,4,1-2,201-T5,Cao Văn Chung
Học máy,3,MAT3533 1,KHDL,25,2,1-5,PM,"Cao Văn Chung
BMTH"
Học máy,3,MAT3533 2,KHDL,25,2,1-5,PM,"Cao Văn Chung
BMTH"
Seminar Một số vấn đề chọn lọc về Khoa học dữ liệu,2,MAT3380,KHDL,,6,6-8,207-T5,Nguyễn Thị Bích Thủy
Khai phá dữ liệu,3,"MAT3534 1,2",KHDL,,6,4-5,304-T4,Lê Hoàng Sơn
Khai phá dữ liệu,3,MAT3534 1,KHDL,25,4,6-10,PM,Lê Hoàng Sơn
Khai phá dữ liệu,3,MAT3534 2,KHDL,25,4,6-10,PM,Lê Hoàng Sơn
Phương pháp tính toán trong thống kê và khoa học dữ liệu,3,"MAT3386 1,2",KHDL,,2,6-7,201-T5,Trịnh Quốc Anh
Phương pháp tính toán trong thống kê và khoa học dữ liệu,3,MAT3386 1,KHDL,25,3,6-10,PM,Trần Phương Thảo
Phương pháp tính toán trong thống kê và khoa học dữ liệu,3,MAT3386 2,KHDL,25,3,6-10,PM,Đỗ Phương Nam
Giải tích số ,3,MAT2034,MT&KHTT,,2,6-7,203-T4,Lê Huy Hoàng
Giải tích số ,3,MAT2034,MT&KHTT,,6,4-5,203-T4,Lê Huy Hoàng
Thiết kế và đánh giá thuật toán (**),3,"MAT3552E 1,2",MT&KHTT,,2,9-10,109-T5,Nguyễn Thị Hồng Minh
Thiết kế và đánh giá thuật toán (**),3,MAT3552E 1,MT&KHTT,20,5,6-10,PM,"Tạ Văn Nhân
BMTH"
Thiết kế và đánh giá thuật toán (**),3,MAT3552E 2,MT&KHTT,20,5,6-10,PM,"Tạ Văn Nhân
BMTH"
Kiến trúc máy tính,3,"MAT3505 1,2",MT&KHTT,,6,9-10,105-T5,Lê Quang Thảo
Kiến trúc máy tính,3,MAT3505 1,MT&KHTT,25,7,2-3,102T5,Lê Quang Thảo
Kiến trúc máy tính,3,MAT3505 2,MT&KHTT,25,7,4-5,102T5,Lê Quang Thảo
Tính toán song song,3,"MAT3532 1,2",MT&KHTT,,2,2-3,204-T5,Trần Hà Nguyên
Tính toán song song,3,MAT3532 1,MT&KHTT,20,4,6-10,PM,Trần Hà Nguyên
Tính toán song song,3,MAT3532 2,MT&KHTT,20,4,6-10,PM,Trần Hà Nguyên
Nhập môn an toàn máy tính (**),3,MAT3373E 1,MT&KHTT,,6,6-8,105-T5,Hoàng Quốc Hùng
Phương pháp nghiên cứu khoa học (**),3,MAT2315E,MT&KHTT,,3,4-5,GĐ7T5,Nguyễn Thị Minh Huyền
Phương pháp nghiên cứu khoa học (**),3,MAT2315E,MT&KHTT,,CN,13,BM,BMTH+PTNKHDN
Học máy,3,"MAT3533 3,4",MT&KHTT,,5,1-2,413-T5,Cao Văn Chung
Học máy,3,MAT3533 3,MT&KHTT,25,3,6-10,PM,"Cao Văn Chung
BMTH"
Học máy,3,MAT3533 4,MT&KHTT,25,3,6-10,PM,"Cao Văn Chung
BMTH"
Thị giác máy tính (**),3,"MAT3562E 1,2",MT&KHTT,,4,4-5,111-T5,Đỗ Thanh Hà
Thị giác máy tính (**),3,MAT3562E 1,MT&KHTT,25,5,3-5,PM,Đỗ Thanh Hà
Thị giác máy tính (**),3,MAT3562E 2,MT&KHTT,25,5,3-5,PM,Đỗ Thanh Hà
Tối ưu hóa,3,MAT2411E,MT&KHTT,,3,1-2,407-T5,Nguyễn Ngọc Phan
Tối ưu hóa,3,MAT2411E,MT&KHTT,,4,1-2,204-T5,Nguyễn Ngọc Phan
Thiết kế và đánh giá thuật toán (**),3,"MAT3552E 3,4",MT&KHTT,,2,1-2,207-T5,Nguyễn Thị Hồng Minh
Thiết kế và đánh giá thuật toán (**),3,MAT3552E 3,MT&KHTT,20,4,6-10,PM,Tạ Văn Nhân + BMTH
Thiết kế và đánh giá thuật toán (**),3,MAT3552E 4,MT&KHTT,20,4,6-10,PM,Tạ Văn Nhân + BMTH
Kiến trúc máy tính,3,"MAT3505 3,4",MT&KHTT,,6,6-7,205-T5,Lê Quang Thảo
Kiến trúc máy tính,3,MAT3505 3,MT&KHTT,25,7,7-8,102T5,Lê Quang Thảo
Kiến trúc máy tính,3,MAT3505 4,MT&KHTT,25,7,9-10,102T5,Lê Quang Thảo
Tính toán song song,3,"MAT3532 3,4",MT&KHTT,,2,4-5,204-T4,Trần Hà Nguyên
Tính toán song song,3,MAT3532 3,MT&KHTT,20,5,6-10,PM,Trần Hà Nguyên
Tính toán song song,3,MAT3532 4,MT&KHTT,20,5,6-10,PM,Trần Hà Nguyên
Nhập môn an toàn máy tính (**),3,MAT3373E 2,MT&KHTT,,6,1-3,103-T5,Hoàng Quốc Hùng
Giải tích số,4,MAT2404,Toán - Tin,,2,1-3,108-T5,Nguyễn Trung Hiếu
Giải tích số,4,MAT2404,Toán - Tin,,6,4-5,204-T4,Nguyễn Trung Hiếu
Tư tưởng Hồ Chí Minh,2,Môn chung,Toán - Tin,,,,Môn chung toàn trường,
Thiết kế và đánh giá thuật toán,3,"MAT3504 1,2,3",Toán - Tin,,3,1-2,302-T4,Lê Trọng Vĩnh
Thiết kế và đánh giá thuật toán,3,MAT3504 1,Toán - Tin,20,3,3-5,PM,"Lê Trọng Vĩnh
BMTH"
Thiết kế và đánh giá thuật toán,3,MAT3504 2,Toán - Tin,20,3,3-5,PM,"Lê Trọng Vĩnh
BMTH"
Thiết kế và đánh giá thuật toán,3,MAT3504 3,Toán - Tin,20,3,3-5,PM,"Lê Trọng Vĩnh
BMTH"
Phân tích thống kê nhiều chiều,3,"MAT3452 1,2",Toán - Tin,,2,4-5,201-T5,Phạm Đình Tùng
Phân tích thống kê nhiều chiều,3,MAT3452 1,Toán - Tin,25,6,6-8,PM,Nguyễn Bảo Ngọc
Phân tích thống kê nhiều chiều,3,MAT3452 2,Toán - Tin,25,6,8-10,PM,Nguyễn Bảo Ngọc
Thực hành tính toán,2,MAT3525,Toán - Tin,,5,3-5,201-T5,Nguyễn Thị Hoài
Học máy,3,"MAT3533 5,6,7",Toán - Tin,,4,4-5,203-T5,Cao Văn Chung
Học máy,3,MAT3533 5,Toán - Tin,20,5,6-10,PM,"Cao Văn Chung
 BMTH"
Học máy,3,MAT3533 6,Toán - Tin,20,5,6-10,PM,"Cao Văn Chung
 BMTH"
Học máy,3,MAT3533 7,Toán - Tin,20,5,6-10,PM,"Cao Văn Chung
 BMTH"
"Tư tưởng Hồ Chí Minh
",2,Môn chung,Toán học,,,,Môn chung toàn trường,
Phương trình đạo hàm riêng 1,3,MAT2306,Toán học,,3,4-5,207-T5,Đặng Anh Tuấn
Phương trình đạo hàm riêng 1,3,MAT2306,Toán học,,6,6-7,104-T4,Nguyễn Tiến Tài
Tối ưu hóa,3,MAT2407 2,Toán học,,3,1-2,204-T4,Hoàng Nam Dũng
Tối ưu hóa,3,MAT2407 2,Toán học,,4,1-2,206-T5,Hoàng Anh Quân
Thống kê ứng dụng,4,MAT2311 1,Toán học,,4,3-5,108-T5,Hoàng Thị Phương Thảo
Thống kê ứng dụng,4,MAT2311 1,Toán học,,6,1-2,107-T5,Trần Phương Thảo
Cơ sở hình học vi phân,3,MAT3306,Toán học,,2,3-5,205-T5,Nguyễn Minh Hoàng
Lý thuyết Galois,4,MAT3347 1,Toán học,,5,4-5,205-T5,Võ Thị Như Quỳnh
Lý thuyết Galois,4,MAT3347 1,Toán học,,6,4-5,407-T5,Võ Thị Như Quỳnh
Thống kê ứng dụng ,4,MAT2311 2,Toán học,,3,6-8,206-T5,Phạm Đình Tùng
Thống kê ứng dụng,4,MAT2311 3,Toán học,,6,4-5,205-T5,Phạm Đình Tùng
Cơ sở hình học vi phân,3,MAT3306,Toán học,,2,3-5,306-T5,Nguyễn Minh Hoàng
Lý thuyết Galois,4,MAT3347 2,Toán học,,2,6-7,413-T5,Phạm Văn Tuấn
Lý thuyết Galois,4,MAT3347 2,Toán học,,4,1-2,404-T5,Phạm Văn Tuấn
Giải tích trên đa tạp,3,MAT3318,Toán học,,5,3-5,413-T5,Nguyễn Thạc Dũng
Xác suất 2,3,MAT3322,Toán học,,4,3-5,309-T5,Tạ Công Sơn
Xemina 1,2,MAT3363,Toán học,,6,1-3,304-T5,Lê Huy Hoàng
Hệ động lực,3,MAT3101,Toán học,,5,6-8,107-T5,Lê Huy Tiễn
Cơ sở văn hóa Việt Nam,3,Môn chung,KHDL,,,,#N/A,
Khoa học trái đất và sự sống,3,Môn chung,KHDL,,,,#N/A,
Nhập môn Robotics,3,Môn chung,KHDL,,,,#N/A,
Phương trình vi phân,3,MAT2403 1,KHDL,,2,1-2,209-T5,Nguyễn Thụy Trung
Phương trình vi phân,3,MAT2403 1,KHDL,,3,4-5,201-T5,Lê Bá Dũng
Cấu trúc dữ liệu và thuật toán,4,"MAT3514 1,2,3",KHDL,,6,6-8,203-T5,Nguyễn Thị Tâm
Cấu trúc dữ liệu và thuật toán,4,MAT3514 1,KHDL,20,2,6-10,PM,BMTH
Cấu trúc dữ liệu và thuật toán,4,MAT3514 2,KHDL,20,2,6-10,PM,BMTH
Cấu trúc dữ liệu và thuật toán,4,MAT3514 3,KHDL,20,2,6-10,PM,BMTH
Phân tích hồi quy và ứng dụng,3,"MAT3379 1,2",KHDL,,2,4-5,203-T5,Trịnh Quốc Anh
Phân tích hồi quy và ứng dụng,3,MAT3379 1,KHDL,30,4,1-5,PM,Trịnh Quốc Anh
